Column 1,x (center),y (center),z (center)
ctl l,14.5,13.5,29.98
wind,38.5,13.5,29.98
alt l,61.5,13.5,29.98
space,85.5,13.5,29.98
alt r,205.5,13.5,29.98
fn ,228.5,13.5,29.98
doc,252.5,13.5,29.98
ctl r,276.5,13.5,29.98
shift l,24,32.5,30.665
z,55,32.5,30.665
x,74,32.5,30.665
c,92,32.5,30.665
v,122,32.5,30.665
b,131,32.5,30.665
n,150,32.5,30.665
m,169,32.5,30.665
.,207,32.5,30.665
/,226,32.5,30.665
shift r,261.5,32.5,30.665
caps lock,19,51.5,31.115
a,45,51.5,31.115
s,64,51.5,31.115
d,84,51.5,31.115
f,102,51.5,31.115
g,121,51.5,31.115
h,141,51.5,31.115
j,159,51.5,31.115
k,178,51.5,31.115
l,197,51.5,31.115
;,216,51.5,31.115
\',235,51.5,31.115
enter,266,51.5,31.115
r,98,70.5,33.345
t,117,70.5,33.345
y,136,70.5,33.345
u,154,70.5,33.345
i,173,70.5,33.345
o,193,70.5,33.345
p,262,70.5,33.345
[,231,70.5,33.345
],250,70.5,33.345
\,273,70.5,33.345
`,12,89.5,35.62
1,31,89.5,35.62
2,50,89.5,35.62
3,69,89.5,35.62
4,89,89.5,35.62
5,107,89.5,35.62
6,126,89.5,35.62
7,146,89.5,35.62
8,165,89.5,35.62
9,184,89.5,35.62
0,203,89.5,35.62
-,222,89.5,35.62
plus,140,89.5,35.62
back,269,89.5,35.62
